1.285393668884328316e-10 7.288467390758565183e-13 9.748674605859527467e-13 5.039747619489677027e-13 8.808423796428822507e-13 8.555220216581398700e-13 7.699473946407143600e-13 7.207597591942609482e-13 6.042062284069090001e-13 3.869535848480577778e-13 4.429371629229705129e-13 4.380009355584400281e-13 2.908547565166384057e-13 4.234464228777620492e-13 1.534107462166472853e-13 3.316394327959947218e-13 1.293977862952218069e-13 2.017960402840535290e-13 2.373742371264889773e-13 6.237436763071833154e-14 6.660317574665890827e-14 5.503906019892546750e-14 3.389159685908561013e-14 1.238381265146120883e-13 -2.217378321551281617e-14 3.441369591786777743e-14 5.557055563226539344e-14 3.238882095414041596e-14 4.392729593185293293e-15 -4.923713674541703980e-14 -1.155783606943236093e-14 -7.845755894255876365e-14 5.321391123597261650e-14 7.005767024207385525e-14 1.696065721607163627e-14 -3.275322893076484495e-14 -4.109121224088958363e-14 3.697183130455511721e-14 2.453340197428539721e-14 1.761457224023061617e-14 -6.488358281236858857e-15 -2.376960317630007014e-14 3.069919248140143165e-14
7.288467390758572251e-13 4.132722775292540511e-15 5.527714869608351026e-15 2.857648755512046880e-15 4.994571792155808445e-15 4.850999742626182824e-15 4.365772614477817728e-15 4.086867804489790489e-15 3.425983416317317528e-15 2.194112708949398178e-15 2.511552021974135842e-15 2.483562517240556675e-15 1.649211023544655803e-15 2.401035200022963089e-15 8.698729799738826183e-16 1.880469190050751084e-15 7.337141676352388463e-16 1.144228336266126645e-15 1.345964608806780869e-15 3.536765082173342439e-16 3.776547888024253872e-16 3.120836870357773087e-16 1.921728763006767939e-16 7.021896627340617742e-16 -1.257302722179179827e-16 1.951332938418511192e-16 3.150973841061833305e-16 1.836518033843013229e-16 2.490775174281047515e-17 -2.791854933397735736e-16 -6.553549573097484524e-17 -4.448717725579658398e-16 3.017346873310372534e-16 3.972425393032041010e-16 9.617069076780743215e-17 -1.857180774907116455e-16 -2.329962934424677690e-16 2.096384892526852593e-16 1.391098342884728909e-16 9.987853408871515498e-17 -3.679043152079567111e-17 -1.347789255816885181e-16 1.740712349373258008e-16
9.748674605859531506e-13 5.527714869608347082e-15 7.393583683465515514e-15 3.822242230328060385e-15 6.680479253988133022e-15 6.488444753684908237e-15 5.839430203897399125e-15 5.466381647484858989e-15 4.582417089921620114e-15 2.934730952525049182e-15 3.359321254418911742e-15 3.321883949784359282e-15 2.205898821104563854e-15 3.211499705948820080e-15 1.163496819776832289e-15 2.515217707277280796e-15 9.813778796697847687e-16 1.530460263732005862e-15 1.800292201196865200e-15 4.730592879813305510e-16 5.051313879852963156e-16 4.174268953396589305e-16 2.570404364438555683e-16 9.392123428132889135e-16 -1.681702676632341853e-16 2.610001368526110191e-16 4.214578596734326773e-16 2.456430928459581244e-16 3.331531224411746963e-17 -3.734239838538327656e-16 -8.765686786567019917e-17 -5.950373267085687784e-16 4.035846120160661783e-16 5.313309434823786671e-16 1.286329101375751235e-16 -2.484068335379242175e-16 -3.116437142906084919e-16 2.804015312162498691e-16 1.860660734618747677e-16 1.335923283646321710e-16 -4.920896620325912600e-17 -1.802732754061877052e-16 2.328286231747136989e-16
5.039747619489676017e-13 2.857648755512043725e-15 3.822242230328058807e-15 1.975974884814646035e-15 3.453590439576313158e-15 3.354314850340689484e-15 3.018795442364986159e-15 2.825941475016017086e-15 2.368960556603283705e-15 1.517160427422712050e-15 1.736659800387918345e-15 1.717305931832423536e-15 1.140377926432658753e-15 1.660240868878639919e-15 6.014900040083038626e-16 1.300285727572637576e-15 5.073404368131075477e-16 7.911981661825976070e-16 9.306924994618559388e-16 2.445562619403059058e-16 2.611364942469487741e-16 2.157961248223987486e-16 1.328815433948205739e-16 4.855422260215295038e-16 -8.693855733119934830e-17 1.349285796859819011e-16 2.178800022443790919e-16 1.269894875422757336e-16 1.722293258961869237e-17 -1.930480511224093730e-16 -4.531574896267472183e-17 -3.076149396744179559e-16 2.086401146724192260e-16 2.746808120938840621e-16 6.649902975161571581e-17 -1.284182515677824527e-16 -1.611096616437467131e-16 1.449584693901842385e-16 9.619010672831828779e-17 6.906288763121316196e-17 -2.543943462133405769e-17 -9.319541858950341612e-17 1.203648236128981851e-16
8.808423796428825537e-13 4.994571792155805290e-15 6.680479253988133022e-15 3.453590439576314736e-15 6.036153098905273575e-15 5.862640151700169705e-15 5.276222465634341911e-15 4.939154103587200460e-15 4.140447124552361850e-15 2.651678818246767627e-15 3.035317771247296962e-15 3.001491260634362849e-15 1.993141883785192403e-15 2.901753476836825179e-15 1.051278608502484093e-15 2.272627244391131629e-15 8.867248747205496235e-16 1.382848761660676455e-15 1.626655653889222988e-15 4.274331494121129972e-16 4.564119245069935908e-16 3.771664505007929841e-16 2.322491198604205665e-16 8.486261655880573938e-16 -1.519503981234822181e-16 2.358269107619905203e-16 3.808086319865538255e-16 2.219510396984820508e-16 3.010208064388125622e-17 -3.374075798527836515e-16 -7.920244259299591716e-17 -5.376465171165723877e-16 3.646592428285666131e-16 4.800845566776936318e-16 1.162263828129697941e-16 -2.244482201114625490e-16 -2.815859611638796543e-16 2.533570582646939308e-16 1.681201697105108285e-16 1.207074696574722366e-16 -4.446280611745091229e-17 -1.628860817647554910e-16 2.103725139855651526e-16
8.555220216581397690e-13 4.850999742626177302e-15 6.488444753684905081e-15 3.354314850340689484e-15 5.862640151700167339e-15 5.694114941279483128e-15 5.124554193620492164e-15 4.797175069727201332e-15 4.021427415880909162e-15 2.575454673620814774e-15 2.948065688080507935e-15 2.915211541397703764e-15 1.935847789883527147e-15 2.818340781767852490e-15 1.021058955901553295e-15 2.207299171260508165e-15 8.612354207832818881e-16 1.343097920314688697e-15 1.579896432913638768e-15 4.151463196593840341e-16 4.432920819743173126e-16 3.663245680400664233e-16 2.255729755326562302e-16 8.242318825647759728e-16 -1.475824901239027776e-16 2.290479206260362419e-16 3.698620527705436775e-16 2.155709200424207017e-16 2.923677775246306526e-17 -3.277085906736960007e-16 -7.692571948558395770e-17 -5.221915360697238168e-16 3.541768877736157510e-16 4.662842297191360177e-16 1.128853836874630410e-16 -2.179963174628131361e-16 -2.734915988750920313e-16 2.460741532166599817e-16 1.632874516443663598e-16 1.172376589242525064e-16 -4.318469530680110737e-17 -1.582038207878394925e-16 2.043252261990438066e-16
7.699473946407149659e-13 4.365772614477816150e-15 5.839430203897401492e-15 3.018795442364988525e-15 5.276222465634344278e-15 5.124554193620496897e-15 4.611964449992726003e-15 4.317331819715300054e-15 3.619179265068062037e-15 2.317841698716642722e-15 2.653181844890359690e-15 2.623613974045210212e-15 1.742212268660222649e-15 2.536432829544321167e-15 9.189262964233945863e-16 1.986511396644967622e-15 7.750893040943368638e-16 1.208752923144369627e-15 1.421865377546171844e-15 3.736208059225742070e-16 3.989512542523065654e-16 3.296825091757132807e-16 2.030097652847133481e-16 7.417870896304624488e-16 -1.328203726950864740e-16 2.061371247838667137e-16 3.328661527089718923e-16 1.940081775163086922e-16 2.631233362592937574e-17 -2.949291417438430972e-16 -6.923113116830463901e-17 -4.699586948341312333e-16 3.187499153496018718e-16 4.196435845549290620e-16 1.015938863791288196e-16 -1.961909716204044726e-16 -2.461352702550822716e-16 2.214602878256428179e-16 1.469544264067342308e-16 1.055108200108669292e-16 -3.886509382351241252e-17 -1.423792918874476458e-16 1.838873478281921942e-16
7.207597591942611501e-13 4.086867804489788122e-15 5.466381647484859778e-15 2.825941475016018664e-15 4.939154103587201249e-15 4.797175069727203699e-15 4.317331819715298476e-15 4.041521621346325193e-15 3.387970131113394420e-15 2.169767748090101251e-15 2.483684886698151750e-15 2.456005941852599789e-15 1.630912064857095611e-15 2.374394313377562719e-15 8.602212316550077743e-16 1.859604287057313053e-15 7.255731807934350106e-16 1.131532455171743125e-15 1.331030346047284828e-15 3.497522609741164587e-16 3.734644885438195062e-16 3.086209364146621935e-16 1.900406060974753137e-16 6.943984586699600863e-16 -1.243352214789613680e-16 1.929681760785069304e-16 3.116011947574579666e-16 1.816140794574977047e-16 2.463138570254349475e-17 -2.760877673751421264e-16 -6.480834116322743513e-17 -4.399356606407637069e-16 2.983867649007061210e-16 3.928349015225474693e-16 9.510362083425105815e-17 -1.836574270469428891e-16 -2.304110636039631964e-16 2.073124278818897010e-16 1.375663295008278801e-16 9.877032346983678069e-17 -3.638222021436771238e-17 -1.332834747534056642e-16 1.721398130080905247e-16
6.042062284069094040e-13 3.425983416317316345e-15 4.582417089921620903e-15 2.368960556603285677e-15 4.140447124552362639e-15 4.021427415880912317e-15 3.619179265068062037e-15 3.387970131113395603e-15 2.840103971902744155e-15 1.818896200667513121e-15 2.082050029569798624e-15 2.058847026546836782e-15 1.367178473826312570e-15 1.990432754515095661e-15 7.211154886821779744e-16 1.558889044899338143e-15 6.082412751379038970e-16 9.485531737005064936e-16 1.115790407304937633e-15 2.931940799749945317e-16 3.130718206566231604e-16 2.587140716720473132e-16 1.593092793952319657e-16 5.821077944106849210e-16 -1.042290642195707510e-16 1.617634341868560455e-16 2.612123946291889019e-16 1.522454001833807742e-16 2.064826242853344707e-17 -2.314418174809044267e-16 -5.432823195806085719e-17 -3.687939883805520770e-16 2.501348605098849758e-16 3.293098583928656549e-16 7.972448422528571057e-17 -1.539583195363191195e-16 -1.931514598969908401e-16 1.737880875763982787e-16 1.153205794901697109e-16 8.279824707327485586e-17 -3.049887813016485225e-17 -1.117303020353802913e-16 1.443032103964290680e-16
3.869535848480576769e-13 2.194112708949395417e-15 2.934730952525047210e-15 1.517160427422711853e-15 2.651678818246766049e-15 2.575454673620813986e-15 2.317841698716639961e-15 2.169767748090099674e-15 1.818896200667511149e-15 1.164881082359192579e-15 1.333413468608700885e-15 1.318553500642715409e-15 8.755861603232328921e-16 1.274738745724923247e-15 4.618261287553399565e-16 9.983639293071304490e-16 3.895377617800045058e-16 6.074847191664863142e-16 7.145889561319566608e-16 1.877711532396623936e-16 2.005015135931411746e-16 1.656890193735566956e-16 1.020269137643349504e-16 3.728010192962036692e-16 -6.675172838165351358e-17 1.035986353880839645e-16 1.672890277463983424e-16 9.750297267361408718e-17 1.322382787855602448e-17 -1.482229688265849867e-16 -3.479359054284792791e-17 -2.361878265481243855e-16 1.601946097526557733e-16 2.109008882065148445e-16 5.105818761994070844e-17 -9.859998268942068202e-17 -1.237005616821306980e-16 1.112996197819507338e-16 7.385510036553980324e-17 5.302672666684565775e-17 -1.953248687526498246e-17 -7.155576833880288401e-17 9.241653253924514134e-17
