2.568152926979651004e-09 1.270392863235563007e-11 5.399814268070992992e-12 1.821102188163759486e-11 8.440240706284864082e-11 5.005445479875337155e-11 2.530567644536062308e-11 3.003692533974922673e-11 7.395905138969950190e-12 5.237190338473714381e-12 1.286545221987648766e-11 1.897562165476556484e-11 8.462694434660905201e-12 2.123055945734288372e-10 1.535258079354736007e-10 6.745781733842599912e-11 3.431233956073775162e-11 1.792691319699435344e-11 9.090792285491085242e-12 1.962964611181893132e-11 4.925233544379110511e-11 9.734927649658299218e-11 1.822337721173675779e-10 1.748480278073689397e-10 8.239582976371605624e-11 6.304285778412610493e-11 2.213469331457469334e-11 2.141837252264648172e-12 5.518938772875480551e-11 9.864169629917441712e-11 2.724764682517997001e-10 -2.546326985869101294e-11 1.519467500533945285e-11 6.303423212769843815e-11 -2.735005558934316044e-10 -1.995610832391950085e-10 5.682205341449935830e-11
1.270392863235564946e-11 6.284275402781114280e-14 2.671135911295877152e-14 9.008479202158674467e-14 4.175149168342168516e-13 2.476052788035052399e-13 1.251800483444855298e-13 1.485842030055216637e-13 3.658545800372078774e-14 2.590690437281727214e-14 6.364176568585920908e-14 9.386705157789625233e-14 4.186256394855934284e-14 1.050215932772621622e-12 7.594488968111404143e-13 3.336948077191502278e-13 1.697334720255230765e-13 8.867938644171537229e-14 4.496958697170416681e-14 9.710232621397206628e-14 2.436374204516834728e-13 4.815594305275757684e-13 9.014591035693195462e-13 8.649239083224389734e-13 4.075889445388422039e-13 3.118552472695605868e-13 1.094940886165011129e-13 1.059506515715620110e-14 2.730063446003895564e-13 4.879526669905127035e-13 1.347864284210755195e-12 -1.259596185386301428e-13 7.516377425650091972e-14 3.118125785785675405e-13 -1.352930157109480704e-12 -9.871724275578570339e-13 2.810826815405686297e-13
5.399814268070991377e-12 2.671135911295872735e-14 1.135368296153420645e-14 3.829060752556925509e-14 1.774650244265291017e-13 1.052448070219474867e-13 5.320787220157977220e-14 6.315582546297724606e-14 1.555067600342553581e-14 1.101174887881510816e-14 2.705097960960528328e-14 3.989825974944048151e-14 1.779371379116046594e-14 4.463950595485624972e-13 3.228043157001864112e-13 1.418372250072184615e-13 7.214533791368591370e-14 3.769323884362564153e-14 1.911435622682971942e-14 4.127341562811223933e-14 1.035582658926717117e-13 2.046871923748184465e-13 3.831658591924483523e-13 3.676365474110200167e-13 1.732459825556127572e-13 1.325543036734400430e-13 4.654054340914374957e-14 4.503440287049640902e-15 1.160415488396628430e-13 2.074046422653817342e-13 5.729107116335361204e-13 -5.353922908960444920e-14 3.194841788063961450e-14 1.325361673147519402e-13 -5.750639646586752718e-13 -4.195983709950020257e-13 1.194744018338347150e-13
1.821102188163759809e-11 9.008479202158663107e-14 3.829060752556926772e-14 1.291361252242558410e-13 5.985056675313009955e-13 3.549410013856080750e-13 1.794450099270723816e-13 2.129947554418445449e-13 5.244508179608299193e-14 3.713742544312336824e-14 9.123017147147879437e-14 1.345579764905293316e-13 6.000978832225267272e-14 1.505479594985750008e-12 1.088666417929073121e-12 4.783499357580593520e-13 2.433121330066828395e-13 1.271214829424637515e-13 6.446369119739426175e-14 1.391957274489711301e-13 3.492530951198070250e-13 6.903131763753058366e-13 1.292237380702148605e-12 1.239864350331348052e-12 5.842768329795062205e-13 4.470430286789477835e-13 1.569592605098984357e-13 1.518797601892463848e-14 3.913533096117289893e-13 6.994778507441856145e-13 1.932157105379485972e-12 -1.805625201299935898e-13 1.077469165093847987e-13 4.469818633113026167e-13 -1.939419010328583507e-12 -1.415107027082845745e-12 4.029307005903342572e-13
8.440240706284860205e-11 4.175149168342159933e-13 1.774650244265290260e-13 5.985056675313005916e-13 2.773887116753949124e-12 1.645040848171738301e-12 8.316716586087439639e-13 9.871642661184848714e-13 2.430665984021837687e-13 1.721203851101421508e-13 4.228233933820750213e-13 6.236342572713225606e-13 2.781266539928339688e-13 6.977428418167025261e-12 5.045629331451891035e-12 2.217002772208444693e-12 1.127675856238844097e-12 5.891684288491980441e-13 2.987691048080260681e-13 6.451287866170488202e-13 1.618679176481830104e-12 3.199386288807053652e-12 5.989117257490452711e-12 5.746384594974221675e-12 2.707940906064836941e-12 2.071905021387866408e-12 7.274572225514706919e-13 7.039153226775360870e-14 1.813800541118886819e-12 3.241861696376609092e-12 8.954945613570918001e-12 -8.368509698883018680e-13 4.993733556578475724e-13 2.071621538984094993e-12 -8.988602278284690177e-12 -6.558579749869782431e-12 1.867458137735542039e-12
5.005445479875335863e-11 2.476052788035048360e-13 1.052448070219474867e-13 3.549410013856079741e-13 1.645040848171738906e-12 9.755838209163997086e-13 4.932190075128720746e-13 5.854331749161914938e-13 1.441495152353800538e-13 1.020751935430508309e-13 2.507534461207851967e-13 3.698433946119261943e-13 1.649417180750125771e-13 4.137931458620787031e-12 2.992286998572940829e-12 1.314783178726007193e-12 6.687629196608327240e-13 3.494035954297510959e-13 1.771836274851925150e-13 3.825906252300647028e-13 9.599501541770196037e-13 1.897381152383440556e-12 3.551818123223224762e-12 3.407866647111262939e-12 1.605931754758925771e-12 1.228733632716717274e-12 4.314151211009351513e-13 4.174537069171052578e-14 1.075665971608909363e-12 1.922570995211806992e-12 5.310688830308013134e-12 -4.962905739687701543e-13 2.961510450746368063e-13 1.228565514796155556e-12 -5.330648758717849332e-12 -3.889535204717850130e-12 1.107487359622857673e-12
2.530567644536061661e-11 1.251800483444853278e-13 5.320787220157977220e-14 1.794450099270723311e-13 8.316716586087442668e-13 4.932190075128720746e-13 2.493532428033455044e-13 2.959733067590683658e-13 7.287665017965513032e-14 5.160543314842659868e-14 1.267716450134982805e-13 1.869791073967771610e-13 8.338841700963072908e-14 2.091984720759453783e-12 1.512789359548313314e-12 6.647056261108597407e-13 3.381017360319589224e-13 1.766455027897172412e-13 8.957747250634836686e-14 1.934236345601224814e-13 4.853152052688567159e-13 9.592455602360622398e-13 1.795667550079747563e-12 1.722891021138070151e-12 8.118995510519822382e-13 6.212021661623658455e-13 2.181074893755157724e-13 2.110491160204139741e-14 5.438168320933837273e-13 9.719806107902437398e-13 2.684887364812777984e-12 -2.509061129170224855e-13 1.497229878088856441e-13 6.211171719751450625e-13 -2.694978364549817532e-12 -1.966404784732183109e-12 5.599045460113726168e-13
3.003692533974921381e-11 1.485842030055213860e-13 6.315582546297723344e-14 2.129947554418444439e-13 9.871642661184850734e-13 5.854331749161913929e-13 2.959733067590682648e-13 3.513096414109367824e-13 8.650195560603708186e-14 6.125378809578863182e-14 1.504733708537454348e-13 2.219374574355469772e-13 9.897904374642209461e-14 2.483110420107656172e-12 1.795626413924624172e-12 7.889816068545971895e-13 4.013145676765103510e-13 2.096718414286825606e-13 1.063252294245589002e-13 2.295868787688730665e-13 5.760516466880788866e-13 1.138589886640981854e-12 2.131392624623717811e-12 2.045009509316479200e-12 9.636954874919081738e-13 7.373445687649377978e-13 2.588857242586606578e-13 2.505076896329102514e-14 6.454909679793435941e-13 1.153705932383517756e-12 3.186864476697382061e-12 -2.978165075827078130e-13 1.777157870555233440e-13 7.372436837298598110e-13 -3.198842129472613377e-12 -2.334051564843854059e-12 6.645865042273173222e-13
7.395905138969946959e-12 3.658545800372071832e-14 1.555067600342552950e-14 5.244508179608295406e-14 2.430665984021837687e-13 1.441495152353800033e-13 7.287665017965510508e-14 8.650195560603706924e-14 2.129912601776908023e-14 1.508234285083460531e-14 3.705062233192734231e-14 5.464701740977828427e-14 2.437132329672083417e-14 6.114090876139378642e-13 4.421318917366322289e-13 1.942686561519216138e-13 9.881452378530919827e-14 5.162689030183647902e-14 2.618015332157227179e-14 5.653051227183146761e-14 1.418395287088340220e-13 2.803516904123168178e-13 5.248066334125266254e-13 5.035367690973671330e-13 2.372879490069358681e-13 1.815542178048278899e-13 6.374468214683690707e-14 6.168178294386632531e-15 1.589373716929501132e-13 2.840736705791809984e-13 7.846924108845464963e-13 -7.333049618051956016e-14 4.375844357879965711e-14 1.815293771748053564e-13 -7.876416336399096702e-13 -5.747067573592615479e-13 1.636392102822973720e-13
5.237190338473712766e-12 2.590690437281722481e-14 1.101174887881510658e-14 3.713742544312334930e-14 1.721203851101421760e-13 1.020751935430508183e-13 5.160543314842659237e-14 6.125378809578863182e-14 1.508234285083460531e-14 1.068011268069619205e-14 2.623629666215987096e-14 3.869666068279983482e-14 1.725782801524441218e-14 4.329511677529041568e-13 3.130825542276611142e-13 1.375655731042563839e-13 6.997256719025166940e-14 3.655804746190632869e-14 1.853869721949876427e-14 4.003040157167820013e-14 1.004394452618720628e-13 1.985227145039678155e-13 3.716262145646982816e-13 3.565645925185947646e-13 1.680284063443850043e-13 1.285622215983455261e-13 4.513890148609822259e-14 4.367812074702193068e-15 1.125467744396533596e-13 2.011583241019306456e-13 5.556566012866069771e-13 -5.192681070076405523e-14 3.098624084968376365e-14 1.285446314447252261e-13 -5.577450056982604001e-13 -4.069615037702704732e-13 1.158762416475875503e-13
