1.488090209277887333e-10 3.284669198491032667e-10 1.072949620919170272e-10 4.130482972392861133e-11 -8.394652754545906152e-11 -4.791686483631063163e-11 -9.608385287308216360e-11 -3.478563358581856772e-13 -2.746945870877724662e-11 -2.233316719923486909e-11 -3.466181496343477240e-11 6.037968385751950723e-12 -1.513935832615762883e-11 -6.342889241390704808e-12 -4.177238810238088470e-11 -3.100662357569843594e-11 -5.224268756389153632e-11 -6.645734758296804380e-11 -3.236990275156285841e-11 -6.027332028392022409e-12
3.284669198491032150e-10 7.250267272943910018e-10 2.368327235400618788e-10 9.117236381048556888e-11 -1.852956034719512564e-10 -1.057671430366196465e-10 -2.120863843044215111e-10 -7.678250853137391867e-13 -6.063347796886995541e-11 -4.929611521311893612e-11 -7.650920304719833252e-11 1.332763877787093918e-11 -3.341718376265621611e-11 -1.400069215612020820e-11 -9.220440783216073743e-11 -6.844108023378816469e-11 -1.153155538673800077e-10 -1.466916462847473808e-10 -7.145025339411630990e-11 -1.330416109137956952e-11
1.072949620919169626e-10 2.368327235400618271e-10 7.736230517834221863e-11 2.978179758062239266e-11 -6.052750992232427065e-11 -3.454923743279180998e-11 -6.927881984161021174e-11 -2.508129691105802831e-13 -1.980615497950195151e-11 -1.610276254150714096e-11 -2.499202064062688442e-11 4.353523630639449920e-12 -1.091584950679352562e-11 -4.573379063077722156e-12 -3.011891866494253581e-11 -2.235653779865467062e-11 -3.766826195615974664e-11 -4.791738125274058493e-11 -2.333949559639499497e-11 -4.345854555521460787e-12
4.130482972392859194e-11 9.117236381048554303e-11 2.978179758062239266e-11 1.146495654554863747e-11 -2.330098675847656786e-11 -1.330025512316716621e-11 -2.666993679144986610e-11 -9.655427225735448887e-14 -7.624681000522940869e-12 -6.199003680079726887e-12 -9.621058965785026643e-12 1.675955224333954746e-12 -4.202222512403527312e-12 -1.760591921376300434e-12 -1.159473644119984952e-11 -8.606489708239256329e-12 -1.450097111514546697e-11 -1.844652567904790858e-11 -8.984894282600259607e-12 -1.673002897069817186e-12
-8.394652754545900982e-11 -1.852956034719511788e-10 -6.052750992232427065e-11 -2.330098675847656463e-11 4.735613098590413903e-11 2.703098500880083584e-11 5.420307016063291005e-11 1.962336106905232786e-13 1.549614168400593337e-11 1.259864370976323805e-11 1.955351218939585919e-11 -3.406154252295629371e-12 8.540453749535000670e-12 3.578166989476964660e-12 2.356474699324687892e-11 1.749153622448825616e-11 2.947127924965777622e-11 3.749008981235739792e-11 1.826059277882435388e-11 3.400154043030547867e-12
-4.791686483631060578e-11 -1.057671430366195948e-10 -3.454923743279180998e-11 -1.330025512316716459e-11 2.703098500880083584e-11 1.542934642957857903e-11 3.093923313496964706e-11 1.120105819112900068e-13 8.845232176574966738e-12 7.191333881376438912e-12 1.116118829509721595e-11 -1.944240431273241281e-12 4.874910016207902004e-12 2.042425684655859973e-12 1.345081005245639052e-11 9.984207823180801107e-12 1.682227181576144775e-11 2.139942673944526785e-11 1.042318701675906940e-11 1.940815498464808149e-12
-9.608385287308213775e-11 -2.120863843044214594e-10 -6.927881984161021174e-11 -2.666993679144986933e-11 5.420307016063291652e-11 3.093923313496965352e-11 6.203996723704057293e-11 2.246058524354274693e-13 1.773663594197117164e-11 1.442020610029097832e-11 2.238063733297995022e-11 -3.898629682607996646e-12 9.775266774379793431e-12 4.095512710588844164e-12 2.697183253785482498e-11 2.002053262069479190e-11 3.373235489546838971e-11 4.291055722082740825e-11 2.090078245327891924e-11 3.891761939044433725e-12
-3.478563358581854753e-13 -7.678250853137389848e-13 -2.508129691105802831e-13 -9.655427225735448887e-14 1.962336106905233039e-13 1.120105819112900194e-13 2.246058524354274693e-13 8.131498321960023333e-16 6.421267470793894444e-14 5.220606695479787300e-14 8.102554450126919553e-14 -1.411436985204313224e-14 3.538980151705216467e-14 1.482715359934505581e-14 9.764723788077007130e-14 7.248116006092428641e-14 1.221226358325274740e-13 1.553508602968578362e-13 7.566796483869436710e-14 1.408950627673677780e-14
-2.746945870877723369e-11 -6.063347796886992956e-11 -1.980615497950195474e-11 -7.624681000522940869e-12 1.549614168400593337e-11 8.845232176574968353e-12 1.773663594197116841e-11 6.421267470793894444e-14 5.070735342848481980e-12 4.122599627298794708e-12 6.398411124359091575e-12 -1.114581106865832245e-12 2.794655699129795565e-12 1.170868090015048049e-12 7.710990120029010161e-12 5.723679657999773062e-12 9.643759094203412689e-12 1.226771975209127133e-11 5.975334704155314375e-12 1.112617684369744833e-12
-2.233316719923485293e-11 -4.929611521311891027e-11 -1.610276254150713773e-11 -6.199003680079726079e-12 1.259864370976323805e-11 7.191333881376438912e-12 1.442020610029097348e-11 5.220606695479786038e-14 4.122599627298793900e-12 3.351748126822323983e-12 5.202024072068681947e-12 -9.061746167131125797e-13 2.272105673965009672e-12 9.519369529549362695e-13 6.269174556658806995e-12 4.653455175515483656e-12 7.840550720832665046e-12 9.973878236241592221e-12 4.858055283654020215e-12 9.045783186807145437e-13
