('pfp', 'trk', 'chi2pid', 'I2', 'ndof_proton_beta_90p1', ''): (min = 0.0, max = 81.0)
('pfp', 'trk', 'chi2pid', 'I2', 'chi2_muon_R_embm1', ''): (min = 0.0, max = 49.17926185053577)
('pfp', 'trk', 'chi2pid', 'I2', 'ndof_muon_R_embm1', ''): (min = 0.0, max = 81.0)
('pfp', 'trk', 'chi2pid', 'I2', 'chi2_proton_R_embm1', ''): (min = 0.0, max = 564.7955538802756)
('pfp', 'trk', 'chi2pid', 'I2', 'ndof_proton_R_embm1', ''): (min = 0.0, max = 81.0)
('pfp', 'trk', 'chi2pid', 'I2', 'chi2_muon_R_embp1', ''): (min = 0.0, max = 49.20013766763091)
('pfp', 'trk', 'chi2pid', 'I2', 'ndof_muon_R_embp1', ''): (min = 0.0, max = 81.0)
('pfp', 'trk', 'chi2pid', 'I2', 'chi2_proton_R_embp1', ''): (min = 0.0, max = 565.2022718128359)
('pfp', 'trk', 'chi2pid', 'I2', 'ndof_proton_R_embp1', ''): (min = 0.0, max = 81.0)
('pfp', 'trk', 'chi2pid', 'I2', 'chi2_muon_c_cal_fracm1', ''): (min = 0.0, max = 49.085802091526794)
('pfp', 'trk', 'chi2pid', 'I2', 'ndof_muon_c_cal_fracm1', ''): (min = 0.0, max = 81.0)
('pfp', 'trk', 'chi2pid', 'I2', 'chi2_proton_c_cal_fracm1', ''): (min = 0.0, max = 561.7838417951643)
('pfp', 'trk', 'chi2pid', 'I2', 'ndof_proton_c_cal_fracm1', ''): (min = 0.0, max = 81.0)
('pfp', 'trk', 'chi2pid', 'I2', 'chi2_muon_c_cal_fracp1', ''): (min = 0.0, max = 49.309983245540145)
('pfp', 'trk', 'chi2pid', 'I2', 'ndof_muon_c_cal_fracp1', ''): (min = 0.0, max = 81.0)
('pfp', 'trk', 'chi2pid', 'I2', 'chi2_proton_c_cal_fracp1', ''): (min = 0.0, max = 568.4906582906214)
('pfp', 'trk', 'chi2pid', 'I2', 'ndof_proton_c_cal_fracp1', ''): (min = 0.0, max = 81.0)
('pfp', 'tindex', '', '', '', ''): (min = 0, max = 4)
